file,line,field,class,binding,sub_issue,target_facade,snippet
tools/testnet_reset.rs,118,blocks,Recent,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),let genesis = genesis_bc.blocks.first()
zhtp-cli/src/commands/genesis.rs,32,blocks,Recent,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),"let block0 = bc.blocks.first().context(""No genesis block"")?;"
zhtp/src/api/handlers/blockchain/mod.rs,954,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,1000,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,1005,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,1074,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,1166,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,1172,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,1265,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,1300,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,1428,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,2722,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,2728,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/handlers/blockchain/mod.rs,3041,blocks,Reference,shadow,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/api/server.rs,303,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),let block_count = blockchain.blocks.len();
zhtp/src/api/server.rs,305,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/network_output_dispatcher.rs,125,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),match bincode::serialize(&blockchain_guard.blocks) {
zhtp/src/network_output_dispatcher.rs,151,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/network_output_dispatcher.rs,177,blocks,Lookup,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),if let Some(block) = blockchain_guard.blocks.get(height as usize) {
zhtp/src/network_output_dispatcher.rs,198,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),for block in &blockchain_guard.blocks {
zhtp/src/network_output_dispatcher.rs,249,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/runtime/components/blockchain.rs,860,blocks,Mutate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),"metrics.insert(""total_blocks"".to_string(); blockchain.blocks.len() as f64);"
zhtp/src/runtime/components/blockchain.rs,872,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),let avg_block_size = if blockchain.blocks.len() > 0 {
zhtp/src/runtime/components/blockchain.rs,874,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/runtime/components/blockchain.rs,878,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),/ blockchain.blocks.len() as f64
zhtp/src/runtime/components/blockchain.rs,885,blocks,Mutate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),"metrics.insert(""total_blocks"".to_string(); blockchain.blocks.len() as f64);"
zhtp/src/runtime/components/blockchain.rs,897,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),let avg_block_size = if blockchain.blocks.len() > 0 {
zhtp/src/runtime/components/blockchain.rs,899,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/runtime/components/blockchain.rs,903,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),/ blockchain.blocks.len() as f64
zhtp/src/runtime/components/consensus.rs,1412,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),if blockchain.blocks.is_empty() {
zhtp/src/runtime/components/consensus.rs,1416,blocks,Recent,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),let latest_block = blockchain.blocks.last().unwrap();
zhtp/src/runtime/components/consensus.rs,1514,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),return !blockchain.blocks.is_empty() || blockchain.height == 0;
zhtp/src/runtime/components/identity.rs,668,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/runtime/components/protocols.rs,295,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),if !blockchain_read.blocks.is_empty() {
zhtp/src/runtime/components/protocols.rs,296,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),let genesis_hash = blockchain_read.blocks[0].header.block_hash.as_array();
zhtp/src/runtime/mod.rs,2242,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),for block in &bc.blocks {
zhtp/src/runtime/mod.rs,2270,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),bc.blocks.len()
zhtp/src/runtime/mod.rs,2466,blocks,Recent,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),if let Some(genesis_block) = bc.blocks.first() {
zhtp/src/runtime/mod.rs,5419,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/runtime/mod.rs,5431,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/runtime/mod.rs,6261,blocks,Mutate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),bc.blocks[0].header.version = bc.blocks[0].header.version.saturating_add(1);
zhtp/src/runtime/services/bootstrap_service.rs,94,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/runtime/services/genesis_funding.rs,123,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),if blockchain.blocks.is_empty() {
zhtp/src/runtime/services/genesis_funding.rs,127,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),let genesis_block = &mut blockchain.blocks[0];
zhtp/src/runtime/shared_blockchain.rs,103,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),if height < blockchain.blocks.len() as u64 {
zhtp/src/runtime/shared_blockchain.rs,104,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),Ok(Some(blockchain.blocks[height as usize].clone()))
zhtp/src/runtime/shared_blockchain.rs,117,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),for block in &blockchain.blocks {
zhtp/src/runtime/shared_blockchain.rs,186,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/unified_server.rs,1149,blocks,Reference,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),.blocks
zhtp/src/unified_server.rs,2128,blocks,Aggregate,blockchain,#2636,iter_blocks()/latest_block()/get_block(h),"""block_count"": blockchain.blocks.len();"
tools/chain_audit.rs,161,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),let sov_balance_count = bc.token_contracts
tools/chain_audit.rs,165,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),let sov_total: u128 = bc.token_contracts
zhtp/src/api/handlers/blockchain/mod.rs,1192,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/blockchain/mod.rs,2450,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/network/mod.rs,930,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/oracle/mod.rs,434,token_contracts,Aggregate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),bc.token_contracts.values().find(|t| t.symbol == cbe_symbol)
zhtp/src/api/handlers/oracle/mod.rs,627,token_contracts,Aggregate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),bc.token_contracts.values().find(|t| t.symbol == cbe_symbol)
